bench,freq_mhz,tile,N,run_idx,t_start,t_end,duration_s
lu_mustard,840,16,9600,0,1776286554.7763064,1776286557.0436437,2.2673373222351074
lu_mustard,840,16,9600,1,1776286557.3311255,1776286558.9859166,1.6547911167144775
lu_mustard,840,16,9600,2,1776286559.12652,1776286560.6595256,1.533005714416504
lu_mustard,840,16,9600,3,1776286560.8141167,1776286562.3106687,1.4965519905090332
lu_mustard,840,16,9600,4,1776286562.4399352,1776286563.9591904,1.5192551612854004
lu_mustard,765,16,9600,0,1776286602.336115,1776286603.897814,1.5616991519927979
lu_mustard,765,16,9600,1,1776286604.0719695,1776286605.6276042,1.5556347370147705
lu_mustard,765,16,9600,2,1776286605.7999632,1776286607.4085174,1.6085541248321533
lu_mustard,765,16,9600,3,1776286607.5282996,1776286609.1477487,1.6194491386413574
lu_mustard,765,16,9600,4,1776286609.2739296,1776286610.867939,1.5940093994140625
lu_mustard,690,16,9600,0,1776286641.0402844,1776286643.3467817,2.30649733543396
lu_mustard,690,16,9600,1,1776286643.5467324,1776286645.9156373,2.3689048290252686
lu_mustard,690,16,9600,2,1776286646.1179695,1776286648.043092,1.9251224994659424
lu_mustard,690,16,9600,3,1776286648.1601622,1776286649.9149206,1.754758358001709
lu_mustard,690,16,9600,4,1776286650.0585823,1776286651.836502,1.7779197692871094
lu_mustard,615,16,9600,0,1776286681.838952,1776286683.8467867,2.0078346729278564
lu_mustard,615,16,9600,1,1776286684.0233533,1776286685.9811337,1.957780361175537
lu_mustard,615,16,9600,2,1776286686.1625433,1776286688.0993886,1.936845302581787
lu_mustard,615,16,9600,3,1776286688.242634,1776286690.223614,1.9809799194335938
lu_mustard,615,16,9600,4,1776286690.3633702,1776286692.3133998,1.9500296115875244
lu_mustard,540,16,9600,0,1776286726.8936446,1776286729.454803,2.5611584186553955
lu_mustard,540,16,9600,1,1776286729.7425709,1776286732.3238435,2.581272602081299
lu_mustard,540,16,9600,2,1776286732.5000541,1776286734.7609313,2.2608771324157715
lu_mustard,540,16,9600,3,1776286734.8931503,1776286737.1340103,2.2408599853515625
lu_mustard,540,16,9600,4,1776286737.3934653,1776286739.6049688,2.211503505706787
lu_mustard,465,16,9600,0,1776286772.7795134,1776286775.319321,2.5398075580596924
lu_mustard,465,16,9600,1,1776286775.5467517,1776286778.226106,2.679354190826416
lu_mustard,465,16,9600,2,1776286778.4831052,1776286781.0907717,2.607666492462158
lu_mustard,465,16,9600,3,1776286781.2232356,1776286783.7710495,2.547813892364502
lu_mustard,465,16,9600,4,1776286783.904261,1776286786.5213902,2.61712908744812
lu_mustard,390,16,9600,0,1776286817.1838644,1776286820.4003386,3.2164742946624756
lu_mustard,390,16,9600,1,1776286820.7107713,1776286823.8255565,3.1147851943969727
lu_mustard,390,16,9600,2,1776286824.045188,1776286827.0972917,3.0521037578582764
lu_mustard,390,16,9600,3,1776286827.322947,1776286830.3133287,2.9903817176818848
lu_mustard,390,16,9600,4,1776286830.49955,1776286833.4906144,2.9910643100738525
lu_mustard,315,16,9600,0,1776286861.4296913,1776286865.1772237,3.747532367706299
lu_mustard,315,16,9600,1,1776286865.4482086,1776286869.314214,3.8660054206848145
lu_mustard,315,16,9600,2,1776286869.4671874,1776286873.2947385,3.8275511264801025
lu_mustard,315,16,9600,3,1776286873.5250492,1776286877.3067575,3.781708240509033
lu_mustard,315,16,9600,4,1776286877.4422112,1776286881.2352228,3.7930116653442383
lu_mustard,240,16,9600,0,1776286909.2531152,1776286914.0064323,4.75331711769104
lu_mustard,240,16,9600,1,1776286914.2804809,1776286919.206047,4.92556619644165
lu_mustard,240,16,9600,2,1776286919.347631,1776286924.237467,4.889836072921753
lu_mustard,240,16,9600,3,1776286924.473697,1776286929.3451333,4.871436357498169
lu_mustard,240,16,9600,4,1776286929.6920836,1776286934.431046,4.738962411880493
cholesky_mustard,2040,16,9600,0,1776286958.216913,1776286959.160724,0.9438109397888184
cholesky_mustard,2040,16,9600,1,1776286959.2965093,1776286960.3301017,1.0335924625396729
cholesky_mustard,2040,16,9600,2,1776286960.5202146,1776286961.395884,0.8756694793701172
cholesky_mustard,2040,16,9600,3,1776286961.5817213,1776286962.4971862,0.9154648780822754
cholesky_mustard,2040,16,9600,4,1776286962.683248,1776286963.580343,0.8970949649810791
cholesky_mustard,1815,16,9600,0,1776286984.3442378,1776286985.1737456,0.8295078277587891
cholesky_mustard,1815,16,9600,1,1776286985.407561,1776286986.373782,0.9662208557128906
cholesky_mustard,1815,16,9600,2,1776286986.5710166,1776286987.4004192,0.8294026851654053
cholesky_mustard,1815,16,9600,3,1776286987.5405276,1776286988.4282815,0.887753963470459
cholesky_mustard,1815,16,9600,4,1776286988.6847405,1776286989.3145108,0.6297702789306641
cholesky_mustard,1740,16,9600,0,1776287008.61823,1776287009.2265513,0.6083211898803711
cholesky_mustard,1740,16,9600,1,1776287009.394225,1776287010.0171905,0.6229655742645264
cholesky_mustard,1740,16,9600,2,1776287010.2167575,1776287010.8334587,0.6167011260986328
cholesky_mustard,1740,16,9600,3,1776287010.963869,1776287011.5581758,0.5943067073822021
cholesky_mustard,1740,16,9600,4,1776287011.7328255,1776287012.3489113,0.6160857677459717
cholesky_mustard,1665,16,9600,0,1776287033.3201993,1776287033.939066,0.6188666820526123
cholesky_mustard,1665,16,9600,1,1776287034.1090157,1776287034.7236648,0.6146490573883057
cholesky_mustard,1665,16,9600,2,1776287034.889361,1776287035.4995477,0.6101868152618408
cholesky_mustard,1665,16,9600,3,1776287035.6286535,1776287036.2578251,0.62917160987854
cholesky_mustard,1665,16,9600,4,1776287036.4379506,1776287037.0651615,0.6272108554840088
cholesky_mustard,1590,16,9600,0,1776287057.471306,1776287058.4464774,0.9751713275909424
cholesky_mustard,1590,16,9600,1,1776287058.6444378,1776287059.5209906,0.8765528202056885
cholesky_mustard,1590,16,9600,2,1776287059.7181344,1776287060.688831,0.9706966876983643
cholesky_mustard,1590,16,9600,3,1776287060.883919,1776287061.8014824,0.9175634384155273
cholesky_mustard,1590,16,9600,4,1776287061.9448407,1776287062.7332492,0.7884085178375244
cholesky_mustard,1515,16,9600,0,1776287082.295403,1776287082.910498,0.6150949001312256
cholesky_mustard,1515,16,9600,1,1776287083.1071453,1776287083.7273393,0.6201939582824707
cholesky_mustard,1515,16,9600,2,1776287083.9546885,1776287084.5808592,0.6261706352233887
cholesky_mustard,1515,16,9600,3,1776287084.7975864,1776287085.4247856,0.6271991729736328
cholesky_mustard,1515,16,9600,4,1776287085.5586247,1776287086.1759973,0.6173725128173828
cholesky_mustard,1440,16,9600,0,1776287106.8603864,1776287107.8446593,0.9842729568481445
cholesky_mustard,1440,16,9600,1,1776287108.0016053,1776287108.951574,0.9499688148498535
cholesky_mustard,1440,16,9600,2,1776287109.1469846,1776287110.2515557,1.1045711040496826
cholesky_mustard,1440,16,9600,3,1776287110.4538012,1776287111.4702873,1.0164861679077148
cholesky_mustard,1440,16,9600,4,1776287111.611225,1776287112.5750737,0.9638488292694092
cholesky_mustard,1365,16,9600,0,1776287132.156468,1776287133.1719728,1.0155048370361328
cholesky_mustard,1365,16,9600,1,1776287133.3483536,1776287134.3808162,1.0324625968933105
