pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,385,GEMM(15,4,3),1777921412790002688,1777921413096915968,1777921412789998592
0,0,397,SYRK(6,6,3),1777921413096923136,1777921413246551040,1777921413096920064
0,0,398,GEMM(7,6,3),1777921413246558208,1777921413556279296,1777921413246555136
0,0,399,GEMM(8,6,3),1777921413556286464,1777921413840734208,1777921413556282368
0,0,400,GEMM(9,6,3),1777921413840742400,1777921414150514688,1777921413840738304
0,0,401,GEMM(10,6,3),1777921414150522880,1777921414446161920,1777921414150518784
0,0,402,GEMM(11,6,3),1777921414446170112,1777921414755893248,1777921414446166016
0,0,403,GEMM(12,6,3),1777921414755900416,1777921415040401408,1777921414755896320
0,0,404,GEMM(13,6,3),1777921415040408576,1777921415350125568,1777921415040404480
0,0,405,GEMM(14,6,3),1777921415350132736,1777921415645805568,1777921415350128640
0,0,406,GEMM(15,6,3),1777921415645812736,1777921415955547136,1777921415645808640
0,0,416,SYRK(8,8,3),1777921415955553280,1777921416101142528,1777921415955550208
0,0,417,GEMM(9,8,3),1777921416101149696,1777921416407984128,1777921416101145600
0,0,418,GEMM(10,8,3),1777921416407992320,1777921416697459712,1777921416407988224
0,0,419,GEMM(11,8,3),1777921416697466880,1777921417004463104,1777921416697462784
0,0,420,GEMM(12,8,3),1777921417004470272,1777921417292404736,1777921417004466176
0,0,421,GEMM(13,8,3),1777921417292411904,1777921417599292416,1777921417292407808
0,0,422,GEMM(14,8,3),1777921417599300608,1777921417888702464,1777921417599296512
0,0,423,GEMM(15,8,3),1777921417888710656,1777921418195637248,1777921417888705536
0,0,431,SYRK(10,10,3),1777921418195644416,1777921418345247744,1777921418195640320
0,0,432,GEMM(11,10,3),1777921418345254912,1777921418655049728,1777921418345250816
0,0,433,GEMM(12,10,3),1777921418655057920,1777921418939415552,1777921418655053824
0,0,434,GEMM(13,10,3),1777921418939422720,1777921419249093632,1777921418939418624
0,0,435,GEMM(14,10,3),1777921419249100800,1777921419544813568,1777921419249096704
0,0,436,GEMM(15,10,3),1777921419544820736,1777921419854631936,1777921419544817664
0,0,442,SYRK(12,12,3),1777921419854639104,1777921420000011264,1777921419854636032
0,0,443,GEMM(13,12,3),1777921420000017408,1777921420306832384,1777921420000014336
0,0,444,GEMM(14,12,3),1777921420306839552,1777921420596201472,1777921420306836480
0,0,445,GEMM(15,12,3),1777921420596208640,1777921420903152640,1777921420596204544
0,0,449,SYRK(14,14,3),1777921420903159808,1777921421052651520,1777921420903155712
0,0,450,GEMM(15,14,3),1777921421052657664,1777921421362363392,1777921421052654592
0,0,452,POTRF(4),1777921421362366464,1777921421379265536,0
0,0,453,TRSM(5,4),1777921421379266560,1777921421426282496,0
0,0,454,TRSM(6,4),1777921421426288640,1777921421473342464,0
0,0,455,TRSM(7,4),1777921421473350656,1777921421520608256,0
0,0,456,TRSM(8,4),1777921421520615424,1777921421567844352,0
0,0,457,TRSM(9,4),1777921421567851520,1777921421614968832,0
0,0,458,TRSM(10,4),1777921421614977024,1777921421662039040,0
0,0,459,TRSM(11,4),1777921421662046208,1777921421709153280,0
0,0,460,TRSM(12,4),1777921421709160448,1777921421756226560,0
0,0,461,TRSM(13,4),1777921421756233728,1777921421803359232,0
0,0,462,TRSM(14,4),1777921421803366400,1777921421850446848,0
0,0,463,TRSM(15,4),1777921421850454016,1777921421897558016,0
0,0,475,SYRK(6,6,4),1777921421897567232,1777921421939357696,0
0,0,476,GEMM(7,6,4),1777921421939360768,1777921422018651136,0
0,0,477,GEMM(8,6,4),1777921422018654208,1777921422097945600,0
0,0,478,GEMM(9,6,4),1777921422097948672,1777921422177250304,0
0,0,479,GEMM(10,6,4),1777921422177253376,1777921422256550912,0
0,0,480,GEMM(11,6,4),1777921422256555008,1777921422335850496,0
