pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
2,0,548,GEMM(13;6;5),1777470599877440758,1777470688779667702,1777470428231930102
2,0,578,GEMM(13;10;5),1777470582284357878,1777470599881652470,1777470428111437046
2,0,549,GEMM(14;6;5),1777470599877442806,1777470688779714806,1777470428116688118
2,0,579,GEMM(14;10;5),1777470599877442806,1777470688779679990,1777470428112034038
2,0,593,SYRK(14;14;5),1777470599877442806,1777470688779674870,1777470580871575798
2,0,550,GEMM(15;6;5),1777470599877442806,1777470688779679990,1777470580871395574
2,0,580,GEMM(15;10;5),1777470599877442806,1777470688779674870,1777470580889574646
2,0,594,GEMM(15;14;5),1777470599877442806,1777470688779685110,1777470580871395574
2,0,596,POTRF(6;6),1777470688780077302,1777470688801772790,1777470580880923894
2,0,597,TRSM(7;6),1777470688801779958,1777470689546064118,1777470580888547574
2,0,598,TRSM(8;6),1777470688801778934,1777470689546298614,1777470580887323894
2,0,599,TRSM(9;6),1777470688801779958,1777470689546066166,1777470580889582838
2,0,600,TRSM(10;6),1777470688801778934,1777470689151388918,1777470580871395574
2,0,601,TRSM(11;6),1777470688801778934,1777470689151388918,1777470580885797110
2,0,602,TRSM(12;6),1777470688801778934,1777470689151388918,1777470580978651382
2,0,603,TRSM(13;6),1777470688801778934,1777470689151348982,1777470580885584118
2,0,604,TRSM(14;6),1777470688801777910,1777470689151348982,1777470688780452086
2,0,605,TRSM(15;6),1777470689133024502,1777470689601914102,1777470689107155190
2,0,630,SYRK(10;10;6),1777470689151398134,1777470689546067190,1777470689131754742
2,0,631,GEMM(11;10;6),1777470689151399158,1777470689547433206,1777470689119327478
2,0,632,GEMM(12;10;6),1777470689151398134,1777470689546066166,1777470689070405878
2,0,633,GEMM(13;10;6),1777470689151398134,1777470689546066166,1777470689094906102
2,0,634,GEMM(14;10;6),1777470689151398134,1777470689546067190,1777470689082600694
2,0,648,SYRK(14;14;6),1777470689151398134,1777470689546065142,1777470689058227446
2,0,635,GEMM(15;10;6),1777470689601987830,1777470689798330614,1777470689045679350
2,0,649,GEMM(15;14;6),1777470689601988854,1777470689800647926,1777470689597782262
2,0,675,SYRK(10;10;7),1777470785508008182,1777470844976837878,1777470689131754742
2,0,676,GEMM(11;10;7),1777470844970564854,1777470857060313334,1777470689119327478
2,0,677,GEMM(12;10;7),1777470785508008182,1777470844976641270,1777470689070405878
2,0,678,GEMM(13;10;7),1777470785508009206,1777470856948868342,1777470689094906102
2,0,679,GEMM(14;10;7),1777470785508009206,1777470844976836854,1777470689082600694
2,0,693,SYRK(14;14;7),1777470785508008182,1777470844978735350,1777470689058227446
2,0,680,GEMM(15;10;7),1777470785508008182,1777470844976882934,1777470689045679350
2,0,694,GEMM(15;14;7),1777470785508007158,1777470844976837878,1777470689597782262
2,0,711,SYRK(10;10;8),1777470872530947318,1777470924892219638,1777470689131754742
2,0,712,GEMM(11;10;8),1777470880615171318,1777470924894273782,1777470689119327478
2,0,713,GEMM(12;10;8),1777470872530946294,1777470880619536630,1777470689070405878
2,0,714,GEMM(13;10;8),1777470880615292150,1777470924892182774,1777470689094906102
