op_name,pe,freq_mhz,energy_consumed_uj,executiontime_ns,average_waittime_ns
TRSM(7;0),0,390,20865104,908951552,0
SYRK(4;0),0,390,19327517,839045120,0
GEMM(5;4;0),0,390,38173411,1678553088,0
GEMM(6;4;0),0,390,37995953,1678521344,0
GEMM(7;4;0),0,390,37098620,1678540800,0
SYRK(4;1),0,390,360233605,16516399104,119460724122
GEMM(5;4;1),0,390,364783229,16270921728,14336
GEMM(6;4;1),0,390,359294346,16841506816,14950
GEMM(7;4;1),0,390,365424462,16830744576,14950
SYRK(4;2),0,390,384699459,17673579520,31133470515
GEMM(5;4;2),0,390,369812668,16982113280,14541
GEMM(6;4;2),0,390,379031117,17130441728,14950
GEMM(7;4;2),0,390,345833312,16095647744,14950
SYRK(4;3),0,390,19434831,839252992,2080060621
GEMM(5;4;3),0,390,374538036,17017896960,69689754
GEMM(6;4;3),0,390,369914384,16928380928,14746
GEMM(7;4;3),0,390,295877658,13614221312,15155
POTRF(4),0,390,6116350,302684160,0
TRSM(5;4),0,390,20389940,908954624,0
TRSM(6;4),0,390,20863028,908930048,0
TRSM(7;4),0,390,20427514,908932096,0
POTRF(0),0,390,6670421,302681088,0
TRSM(1;0),0,390,20467494,908925952,0
TRSM(2;0),0,390,20864639,908921856,0
TRSM(3;0),0,390,20373826,908921856,0
TRSM(4;0),0,390,20705195,908959744,0
TRSM(5;0),0,390,20814297,908955648,0
TRSM(6;0),0,390,20828685,908957696,0
TRSM(7;0),0,390,20838120,908952576,0
SYRK(4;0),0,390,19301486,839044096,0
GEMM(5;4;0),0,390,38141796,1678544896,0
GEMM(6;4;0),0,390,38028212,1678527488,0
GEMM(7;4;0),0,390,38052094,1678535680,0
SYRK(4;1),0,390,362291556,16710226944,119460724122
GEMM(5;4;1),0,390,355389997,16339659776,14336
GEMM(6;4;1),0,390,360363796,16330589184,14950
GEMM(7;4;1),0,390,354726403,16500004864,14950
SYRK(4;2),0,390,393610416,17798305792,31133470515
GEMM(5;4;2),0,390,380787950,17527310336,14541
GEMM(6;4;2),0,390,364839513,16591466496,14950
GEMM(7;4;2),0,390,330472913,15242731520,14950
SYRK(4;3),0,390,19818870,839265280,2080060621
GEMM(5;4;3),0,390,369879625,16912004096,69689754
GEMM(6;4;3),0,390,363690368,16642631680,14746
GEMM(7;4;3),0,390,300288509,13820711936,15155
POTRF(4),0,390,6491201,302682112,0
TRSM(5;4),0,390,20392131,908949504,0
TRSM(6;4),0,390,20857762,908924928,0
TRSM(7;4),0,390,20388740,908944384,0
